song_name,artist,play_count
===== 弦が切れた！今週弦切れんの3回目　弦交換中70人登録,,1
FIRE GROUND,Official髭男dism,1
微笑みの爆弾,馬渡松子,1
() ドライフラワー,優里,1
===== チャンネル登録者２万７０００人,,1
波に名前をつけること僕らの呼吸に終わりがあること波に,キタニタツヤ(初披露),1
===== 弦が切れた！弦交換中6人登録,,1
夏祭り,JITTERIN'JINN,1
===== もうちょとやろか⇒延長,,1
夏影テールライト,UNISON SQUARE GARDEN,1
オリオンをなぞ.る,UNISON SQUARE GARDEN,1
君になれ,コブクロ,1
クリスマスソング,back number,1
酸欠少女,さユり,1
正攻法,SUPER BEAVER,1
砂の惑星,ハチ,1
恋愛裁判,40mP,1
カゲロウデイズ,じん,1
ピエロ,KEI,1
センチメンタルピリオド,UNISON SQUARE GARDEN,1
マスターボリューム,UNISON SQUARE GARDEN,1
- マーメイドスキャンダラス (1C),UNISON SQUARE GARDEN,1
